,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Klang,MY,3.0333,101.45,80.74,83,20,0.0,few clouds
349,Dir,PK,35.2058,71.8756,73.71,76,1,3.22,clear sky
350,Manjakandriana,MG,-18.9167,47.8,51.49,90,91,8.97,overcast clouds
351,Negombo,LK,7.2083,79.8358,80.65,83,0,4.61,clear sky
352,Agadez,NE,19.75,10.25,100.72,17,27,6.91,scattered clouds
353,Longonjo,AO,-12.9067,15.2533,68.58,14,0,4.56,clear sky
354,Brigantine,US,39.4101,-74.3646,88.2,63,0,12.66,clear sky
355,Nakskov,DK,54.8373,11.1284,69.15,69,24,1.92,few clouds
356,Gazli,UZ,40.1333,63.45,82.9,22,0,15.52,clear sky
357,Bossier City,US,32.516,-93.7321,84.45,81,0,4.61,thunderstorm
358,Trinidad,BO,-14.8333,-64.9,75.18,41,2,9.22,clear sky
359,Progreso,MX,21.2833,-89.6667,90.1,57,23,4.99,few clouds
360,Bilma,NE,18.6853,12.9164,101.3,15,45,4.34,scattered clouds
361,Burgeo,CA,47.6167,-57.6152,63.88,70,40,11.12,scattered clouds
362,Sussex,US,41.1834,-74.6663,85.51,60,40,3.44,scattered clouds
363,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.2,83,20,6.91,thunderstorm
364,Luwingu,ZM,-10.2621,29.9271,64.18,28,15,3.47,few clouds
365,Manggar,ID,-2.8833,108.2667,81.72,82,100,10.11,overcast clouds
366,Staszow,PL,50.5631,21.1659,70.63,62,98,10.74,overcast clouds
367,Cavalcante,BR,-13.7975,-47.4583,91.08,19,37,6.44,scattered clouds
368,Nsanje,MW,-16.92,35.262,74.01,48,0,5.93,clear sky
369,Luderitz,NA,-26.6481,15.1594,58.17,72,30,13.62,scattered clouds
370,Barranca,PE,-10.75,-77.7667,66.04,68,18,10.22,few clouds
371,Provost,CA,52.3501,-110.2683,73.11,40,97,12.35,overcast clouds
372,Olinda,BR,-8.0089,-34.8553,80.33,65,20,10.36,few clouds
373,Mirnyy,RU,62.5353,113.9611,53.24,81,81,7.0,broken clouds
374,Ler,SS,8.3018,30.1418,76.39,86,100,4.12,light rain
375,Panguipulli,CL,-39.6333,-72.3333,53.85,54,98,3.06,overcast clouds
376,Knysna,ZA,-34.0363,23.0471,58.08,91,96,3.71,light rain
377,Chicama,PE,-7.8447,-79.1469,61.34,62,55,9.8,broken clouds
378,Hobyo,SO,5.3505,48.5268,77.02,82,64,22.19,broken clouds
379,Ahipara,NZ,-35.1667,173.1667,48.85,87,90,7.85,light rain
380,Kelheim,DE,48.9167,11.8667,77.85,42,10,9.4,clear sky
381,Ust-Tarka,RU,55.5672,75.705,63.1,91,75,7.61,light rain
382,Lata,PT,40.1629,-8.3327,76.68,59,1,7.83,clear sky
383,Natchez,US,31.5604,-91.4032,80.26,89,100,4.61,light rain
384,Quatre Cocos,MU,-20.2078,57.7625,70.09,70,72,22.53,broken clouds
385,Cururupu,BR,-1.8283,-44.8683,85.77,60,26,7.85,scattered clouds
386,Manokwari,ID,-0.8667,134.0833,77.04,79,70,3.62,broken clouds
387,Tvoroyri,FO,61.5556,-6.8111,52.99,85,100,24.76,overcast clouds
388,Ojinaga,MX,29.5667,-104.4167,97.41,36,40,9.22,scattered clouds
389,Maridi,SS,4.9158,29.4742,68.47,95,93,3.58,light rain
390,Turka,UA,49.1541,23.0297,58.17,70,85,3.74,overcast clouds
391,Uvinza,TZ,-5.1036,30.3911,74.03,42,94,3.53,overcast clouds
392,Gewane,ET,10.1664,40.6453,82.09,48,100,14.52,overcast clouds
393,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.13,34,3,5.5,clear sky
394,Misratah,LY,32.3754,15.0925,83.48,63,0,8.3,clear sky
395,Caraballeda,VE,10.6112,-66.8522,86.86,76,77,8.95,broken clouds
396,Altay,CN,47.8667,88.1167,70.93,45,100,2.73,overcast clouds
397,Catia La Mar,VE,10.6038,-67.0303,86.99,89,77,8.95,broken clouds
398,Oistins,BB,13.0667,-59.5333,87.89,66,40,11.5,scattered clouds
399,Buarcos,PT,40.166,-8.8768,75.67,78,4,4.56,clear sky
400,Linkou,CN,45.3,130.2833,60.33,81,68,5.84,light rain
401,Zyryanka,RU,65.75,150.85,62.04,74,100,4.5,overcast clouds
402,Bilibino,RU,68.0546,166.4372,57.81,94,36,1.63,scattered clouds
403,Mazagao,BR,-0.115,-51.2894,91.45,42,66,4.72,broken clouds
404,Leh,IN,34.1667,77.5833,71.49,34,28,5.37,scattered clouds
405,Maymyo,MM,22.0333,96.4667,65.35,96,35,0.81,scattered clouds
406,Ponta Delgada,PT,37.7333,-25.6667,75.92,57,20,13.8,few clouds
407,Antofagasta,CL,-23.65,-70.4,60.08,64,30,6.4,scattered clouds
408,Aswan,EG,24.0934,32.907,100.47,19,78,14.29,broken clouds
409,Bodden Town,KY,19.2833,-81.25,89.6,75,40,14.97,scattered clouds
410,Svetlaya,RU,46.5389,138.3297,64.9,68,40,5.1,scattered clouds
411,Berkak,NO,62.825,10.0118,67.12,66,100,3.67,overcast clouds
412,Krasnooktyabrskiy,RU,44.9328,38.3712,87.1,39,63,5.14,broken clouds
413,Heiligenhafen,DE,54.3667,10.9833,69.75,79,20,7.78,few clouds
414,Filadelfia,US,39.9523,-75.1638,92.21,55,75,9.22,broken clouds
415,Oktyabrskiy,RU,54.4815,53.471,66.76,84,87,3.4,overcast clouds
416,Tam Ky,VN,15.5667,108.4833,77.0,90,100,5.64,overcast clouds
417,Manakara,MG,-22.1333,48.0167,67.59,72,96,8.34,overcast clouds
418,Olafsvik,IS,64.8945,-23.7142,48.6,81,93,10.2,overcast clouds
419,Kant,IN,27.8,79.8,86.81,62,81,13.53,broken clouds
420,Fort Nelson,CA,58.8053,-122.7002,77.38,38,40,3.04,scattered clouds
421,Lubango,AO,-14.9172,13.4925,64.11,18,0,2.17,clear sky
422,Tabou,CI,4.423,-7.3528,76.19,78,97,10.67,overcast clouds
423,Sakaraha,MG,-22.9,44.5333,67.82,57,80,3.33,broken clouds
424,Nambiyur,IN,11.3667,77.3333,80.19,75,82,7.94,broken clouds
425,Newport,GB,51.5877,-2.9984,88.12,33,8,7.07,clear sky
426,Abha,SA,18.2164,42.5053,69.62,88,98,5.75,overcast clouds
427,Mezen,RU,65.8522,44.24,58.23,71,95,3.94,overcast clouds
428,Leningradskiy,RU,69.3833,178.4167,41.63,92,98,4.56,overcast clouds
429,Teknaf,BD,20.8624,92.3058,77.47,91,99,7.87,overcast clouds
430,Bend,US,44.0582,-121.3153,81.61,36,0,8.05,clear sky
431,Hamilton,US,39.1834,-84.5333,83.43,77,75,9.22,broken clouds
432,Berlevag,NO,70.8578,29.0864,60.75,82,75,10.36,broken clouds
433,Krasnoselkup,RU,65.7,82.4667,48.63,65,24,10.29,few clouds
434,Gunjur,GM,13.2019,-16.7339,86.07,79,75,9.22,broken clouds
435,Athabasca,CA,54.7169,-113.2854,72.19,51,0,9.26,clear sky
436,Vao,NC,-22.6667,167.4833,68.22,55,12,19.51,few clouds
437,Thakurgaon,BD,26.0333,88.4667,81.43,76,6,14.79,clear sky
438,Menzelinsk,RU,55.7271,53.1026,69.33,76,42,3.27,scattered clouds
439,Port Lincoln,AU,-34.7333,135.8667,51.42,79,75,19.64,broken clouds
440,Saryg-Sep,RU,51.5,95.6,55.51,74,70,3.83,broken clouds
441,Popova,RU,42.9603,131.7228,70.11,76,83,2.77,broken clouds
442,San Pedro,PH,14.35,121.0167,80.35,88,75,2.3,broken clouds
443,Havre-Saint-Pierre,CA,50.2334,-63.5986,63.25,74,1,7.92,clear sky
444,Tanout,NE,14.9709,8.8879,94.46,31,94,5.95,overcast clouds
445,Voskehask,AM,40.7643,43.7747,66.45,59,3,27.63,clear sky
446,Kenmore,US,47.7573,-122.244,68.16,82,100,12.66,overcast clouds
447,Sergeyevka,KZ,53.88,67.4158,62.73,88,74,6.49,broken clouds
448,Bereda,ES,43.2686,-7.5406,77.41,79,59,6.38,broken clouds
449,Marzuq,YE,14.4,46.4667,79.9,64,52,7.02,light rain
450,Aromashevo,RU,56.8602,68.6375,64.47,85,42,3.2,scattered clouds
451,Mayumba,GA,-3.432,10.6554,70.0,91,45,6.73,scattered clouds
452,Cantapoy,PH,9.4906,125.4364,79.74,79,78,1.57,broken clouds
453,Thyolo,MW,-16.0678,35.1405,63.63,47,0,4.05,clear sky
454,Sao Felix Do Xingu,BR,-6.6447,-51.995,100.44,17,8,4.16,clear sky
455,Mecca,SA,21.4267,39.8261,91.62,51,82,7.74,broken clouds
456,Lapi,PH,17.716,121.8978,75.38,96,100,2.21,moderate rain
457,Buncrana,IE,55.1333,-7.45,67.24,67,40,4.97,scattered clouds
458,Xichang,CN,27.8964,102.2634,66.85,85,97,2.21,overcast clouds
459,Fond Du Lac,US,43.775,-88.4388,83.48,57,20,8.05,few clouds
460,Adrar,MR,20.5022,-10.0711,106.61,10,14,8.61,few clouds
461,Bathsheba,BB,13.2167,-59.5167,88.41,66,40,11.5,scattered clouds
462,Aksu,CN,41.1231,80.2644,76.24,42,51,8.88,broken clouds
463,Bougouni,ML,11.417,-7.479,81.61,79,86,0.96,light rain
464,Dahuk,IQ,36.8695,42.994,88.21,21,0,6.26,clear sky
465,San Andres,CO,12.5847,-81.7006,87.82,74,40,13.8,scattered clouds
466,Tsabong,BW,-26.0217,22.401,68.54,17,4,6.78,clear sky
467,Kinablangan,PH,7.6947,126.5503,77.79,83,17,3.85,few clouds
468,Wajima,JP,37.4,136.9,80.29,84,100,8.46,overcast clouds
469,Ayan,RU,56.45,138.1667,55.02,96,100,5.26,overcast clouds
470,Emba,KZ,48.8264,58.1442,78.58,33,44,8.55,scattered clouds
471,Komsomolskiy,UZ,40.4272,71.7189,83.12,30,12,4.61,few clouds
472,Bojnurd,IR,37.4747,57.329,73.35,31,0,4.61,clear sky
473,Gamba,GA,-2.65,10.0,70.68,88,56,8.75,broken clouds
474,Beloha,MG,-25.1667,45.05,71.22,49,53,13.04,broken clouds
475,Kloulklubed,PW,7.0419,134.2556,75.7,75,48,6.85,scattered clouds
476,Batemans Bay,AU,-35.7167,150.1833,52.11,90,95,5.23,overcast clouds
477,Kanata,CA,45.3159,-75.8985,78.51,62,12,5.99,few clouds
478,Qazvin,IR,36.2797,50.0049,73.31,58,0,10.11,clear sky
479,Ilebo,CD,-4.3167,20.5833,82.26,23,33,1.48,scattered clouds
480,Tongliao,CN,43.6125,122.2653,65.84,91,100,5.79,overcast clouds
481,Poum,NC,-20.2333,164.0167,69.22,58,0,22.48,clear sky
482,Marabba,SD,12.35,32.1833,81.97,69,96,12.21,overcast clouds
483,Lao Cai,VN,22.4833,103.95,77.07,96,100,2.44,overcast clouds
484,Guarapari,BR,-20.6667,-40.4975,81.9,43,62,13.06,broken clouds
485,At-Bashi,KG,41.1702,75.8106,59.83,51,65,2.3,broken clouds
486,Anloga,GH,5.7947,0.8973,75.27,84,33,13.31,scattered clouds
487,Plean,GB,56.0652,-3.876,77.52,53,64,8.81,broken clouds
488,Nome,US,64.5011,-165.4064,48.27,93,100,12.66,overcast clouds
489,Viedma,AR,-40.8135,-62.9967,62.01,33,82,23.04,broken clouds
490,Urucara,BR,-2.5364,-57.76,98.96,23,20,4.76,few clouds
491,Gwanda,ZW,-20.9333,29.0,62.98,46,0,7.07,clear sky
492,Deg,HU,46.8681,18.4504,76.73,31,56,7.49,broken clouds
493,Eureka,US,40.8021,-124.1637,76.17,64,0,5.01,clear sky
494,Leiyang,CN,26.4024,112.8591,81.01,71,99,5.97,overcast clouds
495,Port Shepstone,ZA,-30.7414,30.455,66.97,77,79,9.98,broken clouds
496,Menongue,AO,-14.6585,17.691,64.06,18,0,4.7,clear sky
497,Contamana,PE,-7.3333,-75.0167,76.48,92,95,6.2,overcast clouds
498,Tura,IN,25.5198,90.2201,74.79,88,45,7.61,scattered clouds
499,Caluquembe,AO,-13.7833,14.6833,66.18,14,0,2.17,clear sky
500,Hailar,CN,49.2,119.7,57.15,74,99,5.75,overcast clouds
501,Inhambane,MZ,-23.865,35.3833,69.78,88,20,4.61,few clouds
502,Chernyshevskiy,RU,63.0128,112.4714,51.06,90,96,2.48,overcast clouds
503,Imbituba,BR,-28.24,-48.6703,60.85,99,100,15.99,overcast clouds
504,Guangyuan,CN,32.442,105.823,78.98,86,100,3.47,overcast clouds
505,Bernburg,DE,51.8,11.7333,82.47,31,11,7.14,few clouds
506,Poso,ID,-1.3959,120.7524,77.56,82,89,3.74,overcast clouds
507,Yamada,JP,39.4667,141.95,76.15,85,91,6.22,light rain
508,Dushanbe,TJ,38.5577,68.7797,71.42,46,1,6.71,clear sky
509,Romny,UA,50.751,33.4747,63.41,83,100,10.02,overcast clouds
510,Kailua,US,21.4022,-157.7394,81.81,78,7,7.0,clear sky
511,Yerbogachen,RU,61.2767,108.0108,55.29,82,100,3.67,overcast clouds
512,Arawa,PG,-6.2132,155.5367,76.33,90,66,2.86,broken clouds
513,Yumen,CN,40.2833,97.2,80.85,47,6,17.4,clear sky
514,Morrope,PE,-6.5417,-80.0111,69.91,59,47,14.67,scattered clouds
515,Yatou,CN,37.15,122.3833,71.31,93,100,0.6,overcast clouds
516,Iquitos,PE,-3.7481,-73.2472,86.04,74,75,6.91,broken clouds
517,Tarakan,ID,3.3,117.6333,78.3,94,20,2.3,few clouds
518,Maningrida,AU,-12.0667,134.2667,70.34,94,2,7.38,clear sky
519,Guerrero Negro,MX,27.9769,-114.0611,83.07,54,48,12.68,scattered clouds
520,Mason City,US,43.1536,-93.201,82.67,56,0,4.61,clear sky
521,Praya,CV,14.9215,-23.5087,84.74,74,75,13.8,broken clouds
522,Opuwo,NA,-18.0607,13.84,72.99,16,0,7.09,clear sky
523,Dongsheng,CN,39.8161,109.9776,66.69,89,10,4.45,clear sky
524,Faanui,PF,-16.4833,-151.75,76.44,73,0,5.37,light rain
525,Padang,ID,-0.9492,100.3543,77.88,84,36,3.58,scattered clouds
526,Pizarro,CO,4.9533,-77.366,81.16,81,85,7.87,light rain
527,Dawlatabad,AF,36.4141,64.9053,79.95,19,0,8.81,clear sky
528,Hofn,IS,64.2539,-15.2082,55.42,71,20,13.8,haze
529,Valdivia,CL,-39.8142,-73.2459,44.69,67,71,3.83,broken clouds
530,Sungairaya,ID,0.7,108.9,79.25,87,99,4.88,light rain
531,Herzberg,DE,51.6869,13.2202,79.32,32,20,8.55,few clouds
532,Mountain Home,US,43.133,-115.6912,81.88,44,75,5.75,broken clouds
533,Tranas,SE,58.0372,14.9782,72.39,56,14,6.31,few clouds
534,Palasa,IN,18.7667,84.4167,78.91,85,100,6.2,overcast clouds
535,Ambon,ID,-3.6954,128.1814,76.23,16,40,5.75,scattered clouds
536,Tadine,NC,-21.55,167.8833,65.71,62,0,16.84,clear sky
537,Darhan,MN,49.4867,105.9228,59.4,93,99,5.23,overcast clouds
538,Nuuk,GL,64.1835,-51.7216,41.61,100,100,4.61,fog
539,Nenjiang,CN,49.1833,125.2167,57.81,76,100,2.62,overcast clouds
540,Cap-Aux-Meules,CA,47.3821,-61.8597,64.04,81,67,13.53,broken clouds
541,La Ronge,CA,55.1001,-105.2842,60.55,52,8,3.91,clear sky
542,Kirkwall,GB,58.9848,-2.9587,62.65,82,40,25.32,scattered clouds
543,Tessalit,ML,20.1986,1.0114,101.3,19,61,2.91,light rain
544,The Valley,AI,18.217,-63.0578,87.66,66,20,16.11,few clouds
545,Benghazi,LY,32.1167,20.0667,83.77,58,0,12.59,clear sky
546,Basco,PH,20.4487,121.9702,83.16,76,69,4.23,broken clouds
547,Kampong Thum,KH,12.7111,104.8887,75.04,95,100,4.76,overcast clouds
548,Maumere,ID,-8.6199,122.2111,78.48,80,79,3.11,broken clouds
549,Abdulino,RU,53.7,53.6667,69.93,68,44,3.85,scattered clouds
550,Sabang,ID,5.8933,95.3214,82.51,75,80,17.47,broken clouds
551,Avera,US,33.194,-82.5271,89.11,59,100,7.49,overcast clouds
552,Toora-Khem,RU,52.4675,96.11,52.92,74,9,0.49,clear sky
553,Burevestnik,RU,56.144,43.7883,65.95,94,40,2.24,scattered clouds
554,Birin,NP,26.8865,88.0718,63.66,91,47,6.38,scattered clouds
555,Salalah,OM,17.0151,54.0924,78.69,86,99,6.44,overcast clouds
556,San Juan,AR,-31.5375,-68.5364,68.43,16,45,8.28,scattered clouds
557,Bubaque,GW,11.2833,-15.8333,80.94,84,79,14.76,broken clouds
558,Kaeo,NZ,-35.1,173.7833,49.32,93,91,7.94,overcast clouds
559,Necochea,AR,-38.5473,-58.7368,54.99,57,89,15.99,overcast clouds
560,Kudahuvadhoo,MV,2.6708,72.8944,81.86,78,47,5.82,scattered clouds
561,Svetlogorsk,BY,52.6333,29.7333,62.46,69,68,7.34,broken clouds
562,Inirida,CO,3.8653,-67.9239,87.58,63,94,3.11,overcast clouds
563,Ceyhan,TR,37.0247,35.8175,82.74,71,68,4.76,broken clouds
564,Miri,MY,4.4148,114.0089,78.94,94,20,2.3,few clouds
565,Voloshka,RU,61.3314,40.0858,54.16,81,40,3.0,scattered clouds
566,Petatlan,MX,17.5167,-101.2667,85.8,59,100,5.23,overcast clouds
567,Mokrousovo,RU,55.8103,66.7653,63.95,85,15,4.74,few clouds
568,Rota,ES,36.6224,-6.3586,77.09,78,20,11.5,few clouds
569,Phan Thiet,VN,10.9333,108.1,76.68,88,100,7.58,overcast clouds
570,Grindavik,IS,63.8424,-22.4338,50.47,87,75,12.66,light intensity drizzle
571,Ingham,US,42.6,-84.3833,81.91,58,40,5.75,scattered clouds
572,Pala,TD,9.3642,14.9046,74.05,90,100,2.46,moderate rain
573,Joacaba,BR,-27.1781,-51.5047,49.26,98,100,4.83,overcast clouds
574,Linares,CL,-35.85,-71.6,59.79,52,0,3.67,clear sky
575,Luwuk,ID,-0.9516,122.7875,76.66,91,100,5.26,overcast clouds
576,Liverpool,GB,53.4106,-2.9779,81.28,54,0,11.5,clear sky
577,Zabol,AF,32.25,67.25,83.97,30,2,8.59,clear sky
578,Pasighat,IN,28.0667,95.3333,78.08,88,40,2.3,scattered clouds
579,Lewisporte,CA,49.2499,-55.0482,68.7,46,0,7.85,clear sky
580,Januaria,BR,-15.4833,-44.3667,94.41,15,18,4.12,few clouds
581,Ust-Ishim,RU,57.6935,71.1665,62.31,66,17,6.46,few clouds
582,Zhicheng,CN,30.2956,111.5047,82.6,65,90,4.21,overcast clouds
583,Saint-Georges,GD,12.0564,-61.7485,85.68,79,20,16.11,few clouds
584,Kamaishi,JP,39.2667,141.8833,75.65,88,100,7.34,overcast clouds
585,Serebryansk,KZ,49.6925,83.2892,62.49,73,8,2.21,clear sky
586,Mongo,TD,12.1844,18.693,75.6,78,96,3.71,overcast clouds
587,Monterey,US,36.2505,-121.2516,83.17,26,0,3.6,clear sky
588,Wagga Wagga,AU,-35.1167,147.3667,48.85,70,100,6.98,moderate rain
589,Veraval,IN,20.9,70.3667,80.87,92,100,20.24,overcast clouds
590,Tartagal,AR,-22.5164,-63.8013,70.21,23,0,7.7,clear sky
591,Troitsko-Pechorsk,RU,62.7084,56.1964,58.19,74,100,4.63,light rain
592,Rivera,UY,-30.9053,-55.5508,56.71,64,3,9.31,clear sky
593,Phangnga,TH,8.4509,98.5298,82.44,94,100,2.77,overcast clouds
594,Mildura,AU,-34.2,142.15,52.07,75,100,13.35,light rain
595,Jalu,LY,29.0331,21.5482,90.21,26,0,10.31,clear sky
596,Yar-Sale,RU,66.8333,70.8333,49.05,72,26,4.16,scattered clouds
597,Makokou,GA,0.5738,12.8642,75.99,68,85,2.59,overcast clouds
598,Aguimes,ES,27.9054,-15.4461,76.66,69,20,26.46,few clouds
599,Micheweni,TZ,-4.9667,39.8333,74.14,84,35,10.69,scattered clouds
600,Pauini,BR,-7.7136,-66.9764,89.29,41,23,5.68,few clouds
601,Sulangan,PH,11.1373,123.7228,82.83,74,100,4.79,overcast clouds
602,Makakilo City,US,21.3469,-158.0858,80.35,68,100,19.57,overcast clouds
603,Beawar,IN,26.1,74.3167,84.34,63,92,12.08,overcast clouds
604,Kikuyu,KE,-1.2458,36.6633,61.23,68,75,11.5,broken clouds
605,Buta,CD,2.7858,24.73,75.27,76,100,1.32,overcast clouds
606,Gat,IL,31.61,34.7642,81.81,100,2,5.32,clear sky
607,Banda Aceh,ID,5.5577,95.3222,78.6,83,85,11.03,overcast clouds
608,Sumbe,AO,-11.2061,13.8437,68.65,88,0,8.25,clear sky
609,La Baule-Escoublac,FR,47.2922,-2.364,91.06,26,0,13.8,clear sky
610,Trat,TH,12.5,102.5,74.44,98,100,3.09,light rain
611,Melito Di Porto Salvo,IT,37.9222,15.7714,82.96,54,20,4.61,few clouds
612,Rach Gia,VN,10.0167,105.0833,80.19,80,100,12.1,light rain
613,Sapucaia,BR,-29.8333,-51.15,64.33,61,75,12.66,broken clouds
614,Pancas,BR,-19.225,-40.8514,90.95,26,97,9.24,overcast clouds
615,Ubud,ID,-8.5098,115.2654,76.32,98,55,2.33,broken clouds
616,Jiuquan,CN,39.7432,98.5174,78.37,56,6,5.03,clear sky
617,Sosnogorsk,RU,63.6023,53.8817,52.16,95,100,5.75,moderate rain
618,Puerto Narino,CO,-3.7703,-70.3831,81.23,83,46,6.46,scattered clouds
619,Vangaindrano,MG,-23.35,47.6,66.24,81,100,7.7,light rain
620,Arnes,NO,60.1211,11.4663,72.48,78,7,8.03,clear sky
621,Puerto Leguizamo,CO,-0.1934,-74.7819,81.28,79,80,1.59,broken clouds
622,Denpasar,ID,-8.65,115.2167,78.46,94,40,6.91,scattered clouds
623,Sola,VU,-13.8833,167.55,75.87,94,100,9.22,moderate rain
624,Bonthe,SL,7.5264,-12.505,76.48,90,99,9.86,moderate rain
625,Segezha,RU,63.7415,34.3222,59.58,67,97,9.35,overcast clouds
626,Dawei,MM,14.0833,98.2,75.61,95,100,0.6,overcast clouds
627,Srednekolymsk,RU,67.45,153.6833,61.07,73,15,4.92,few clouds
628,Okmulgee,US,35.6234,-95.9605,93.83,49,40,9.22,scattered clouds
629,Muroran,JP,42.3172,140.9881,69.64,93,11,5.55,few clouds
630,Akdepe,TM,42.0551,59.3788,78.89,37,0,9.37,clear sky
631,Copiapo,CL,-27.3667,-70.3333,56.89,19,25,4.63,scattered clouds
632,Mahon,ES,39.8885,4.2658,84.76,58,0,6.91,clear sky
633,Port Augusta,AU,-32.5,137.7667,48.72,73,4,7.58,clear sky
634,Spirit River,CA,55.7833,-118.8361,78.66,35,0,5.73,clear sky
635,Udachnyy,RU,66.4167,112.4,59.45,71,100,3.85,overcast clouds
636,Miyang,CN,24.4042,103.4428,65.48,96,85,5.03,overcast clouds
637,Lahij,YE,13.1667,44.5833,85.23,53,100,13.89,light rain
638,Pecos,US,31.4229,-103.4932,95.09,26,40,13.8,scattered clouds
639,Buala,SB,-8.145,159.5921,77.92,83,44,3.53,light rain
640,Masindi,UG,1.6744,31.715,72.23,65,100,3.58,overcast clouds
641,Mago,RU,53.2514,140.1822,52.79,96,100,3.29,overcast clouds
642,Markova,UA,48.6758,24.4138,57.09,82,89,2.64,overcast clouds
643,Mahalapye,BW,-23.1041,26.8142,64.83,33,0,6.46,clear sky
644,Springbok,ZA,-29.6643,17.8865,49.24,60,78,3.09,broken clouds
645,Pacific Grove,US,36.6177,-121.9166,78.35,72,0,10.0,clear sky
646,Barcelos,PT,41.5388,-8.6151,80.92,89,22,3.18,few clouds
647,Bandar-E Lengeh,IR,26.5579,54.8807,95.11,71,100,6.91,haze
648,Nueve De Julio,AR,-35.4444,-60.8831,60.96,50,100,4.0,overcast clouds
649,Kavaratti,IN,10.5669,72.642,81.79,80,99,23.13,overcast clouds
650,Namwala,ZM,-15.7504,26.4384,68.23,26,0,5.57,clear sky
651,El Alto,PE,-4.2714,-81.2147,73.06,73,37,15.03,scattered clouds
652,Nemuro,JP,43.3236,145.575,65.93,98,82,10.83,broken clouds
653,Zhezkazgan,KZ,47.8043,67.7144,66.79,63,78,10.22,broken clouds
654,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,79.86,37,23,11.39,few clouds
655,Changping,CN,40.2186,116.2197,71.24,88,0,2.51,clear sky
656,Miyako,JP,39.6367,141.9525,75.52,82,99,5.66,overcast clouds
657,Romanovskaya,RU,47.5426,42.0285,84.56,31,53,8.08,broken clouds
658,Farafangana,MG,-22.8167,47.8333,68.16,74,100,10.89,light rain
659,Sinnamary,GF,5.3833,-52.95,82.9,76,38,10.92,scattered clouds
660,Troitskoye,RU,52.9821,84.6757,63.14,81,92,3.18,overcast clouds
661,Anadyr,RU,64.75,177.4833,59.5,77,0,4.47,clear sky
662,Maryville,US,35.7565,-83.9705,77.14,85,100,14.97,light rain
663,Panama City,PA,8.9936,-79.5197,89.55,68,40,4.61,scattered clouds
664,Beringovskiy,RU,63.05,179.3167,54.41,82,9,8.68,clear sky
665,Meadow Lake,US,34.8014,-106.5436,86.4,37,84,6.46,broken clouds
666,Oleksandrivka,UA,48.9634,32.2349,66.78,69,100,13.42,overcast clouds
667,Wanning,CN,18.8003,110.3967,79.05,90,100,14.85,light rain
668,Morondava,MG,-20.2833,44.2833,71.78,63,0,13.51,clear sky
669,Kapuskasing,CA,49.4169,-82.4331,69.35,51,65,10.02,broken clouds
670,Mehamn,NO,71.0357,27.8492,60.71,94,40,14.97,light rain
671,Jimma,ET,7.6667,36.8333,60.48,98,100,1.19,light rain
672,Brezovo,BG,42.35,25.0833,76.19,63,61,3.8,broken clouds
673,Honningsvag,NO,70.9821,25.9704,56.95,82,75,2.3,light rain
674,Pacocha,PE,-17.5833,-71.3333,59.14,72,100,4.61,overcast clouds
675,Barcelona,ES,41.3888,2.159,92.53,65,20,9.22,few clouds
676,Goderich,CA,43.7501,-81.7165,72.91,65,0,7.7,clear sky
677,Namuac,PH,18.6109,121.1657,78.69,84,100,2.39,overcast clouds
678,Teguldet,RU,57.3064,88.1667,60.93,89,8,4.07,clear sky
679,Lagoa,PT,39.05,-27.9833,71.17,70,71,8.16,broken clouds
680,Jining,CN,35.405,116.5814,72.84,91,75,3.18,broken clouds
681,Ossora,RU,59.2353,163.0719,54.45,94,100,16.84,moderate rain
682,Moron,AR,-34.6534,-58.6198,59.0,55,100,6.46,overcast clouds
683,Cayenne,GF,4.9333,-52.3333,86.09,24,75,4.0,broken clouds
684,Benito Juarez,MX,19.385,-99.165,70.0,51,75,6.91,broken clouds
685,San Antonio,US,29.4241,-98.4936,101.07,40,0,6.91,clear sky
686,Sterling,US,39.0062,-77.4286,93.54,65,75,3.44,broken clouds
687,Zasheyek,RU,67.4066,32.5499,58.95,91,100,10.27,overcast clouds
688,Shahgarh,IN,24.3167,79.1333,77.65,89,76,9.53,broken clouds
689,Alta Floresta,BR,-9.8756,-56.0861,89.42,37,0,6.91,clear sky
690,Yol,IN,32.1667,76.2,77.9,88,100,4.12,overcast clouds
691,Scottsboro,US,34.6723,-86.0341,78.78,100,20,0.0,few clouds
692,Kralovice,CZ,49.9819,13.4875,73.22,54,13,3.76,few clouds
693,Aklavik,CA,68.2191,-135.0107,54.5,47,31,6.82,scattered clouds
694,Ozinki,RU,51.1786,49.6769,81.21,35,60,7.4,broken clouds
695,Gorontalo,ID,0.5412,123.0595,75.38,92,97,1.7,overcast clouds
696,Constitucion,CL,-35.3333,-72.4167,56.17,63,0,11.32,clear sky
697,Vaxjo,SE,56.8777,14.8091,69.85,60,0,5.75,clear sky
698,Lobez,PL,53.6392,15.6213,71.51,57,7,8.43,clear sky
699,Chizhou,CN,30.6578,117.4831,81.91,74,56,2.62,broken clouds
700,Coihaique,CL,-45.5752,-72.0662,48.15,71,100,4.61,overcast clouds
701,Ratnapura,LK,6.6828,80.3992,74.16,81,95,2.33,overcast clouds
